longitude,latitude,time
42.454363,-76.404657,14:34:27
42.454377,-76.404183,14:34:31
42.454378,-76.404009,14:34:33
42.45438,-76.403846,14:34:35
42.45438,-76.403736,14:34:37
42.45438,-76.403688,14:34:38
42.454378,-76.403605,14:34:40
42.454389,-76.403495,14:34:43
42.454393,-76.403394,14:34:46
42.454393,-76.403289,14:34:49
42.454399,-76.403193,14:34:52
42.454416,-76.403057,14:34:56
42.454417,-76.403025,14:34:57
42.454431,-76.402922,14:35:00
42.454444,-76.402781,14:35:04
42.454458,-76.402673,14:35:07
42.454453,-76.40254,14:35:11
42.454451,-76.402507,14:35:12
42.454449,-76.402403,14:35:15
42.454448,-76.402206,14:35:20
42.454457,-76.40199,14:35:26
42.454458,-76.401924,14:35:28
42.454459,-76.401849,14:35:30
42.454464,-76.401676,14:35:35
42.454467,-76.401614,14:35:37
42.454471,-76.40146,14:35:42
42.454471,-76.401387,14:35:44
42.454473,-76.401315,14:35:46
42.454476,-76.401178,14:35:50
42.454482,-76.401079,14:35:53
42.454483,-76.40101,14:35:55
42.454486,-76.400909,14:35:58
42.454503,-76.400747,14:36:03
42.454501,-76.400712,14:36:04
42.45451,-76.400552,14:36:09
42.454518,-76.400468,14:36:12
42.454521,-76.40044,14:36:13
42.454563,-76.400226,14:36:20
42.454586,-76.400106,14:36:24
42.454618,-76.399961,14:36:29
42.454624,-76.399901,14:36:31
42.454648,-76.399801,14:36:35
42.454667,-76.399748,14:36:37
42.454692,-76.399663,14:36:40
42.454741,-76.399548,14:36:44
42.454776,-76.399456,14:36:47
42.454814,-76.399347,14:36:51
42.454822,-76.399322,14:36:52
42.454868,-76.399192,14:36:57
42.454911,-76.399084,14:37:01
42.454923,-76.399057,14:37:02
42.454974,-76.398934,14:37:07
42.454991,-76.398881,14:37:09
42.455034,-76.39878,14:37:13
42.455061,-76.398703,14:37:16
42.455086,-76.398637,14:37:19
42.455118,-76.398575,14:37:22
42.45513,-76.398549,14:37:23
42.455188,-76.398423,14:37:28
42.45522,-76.39835,14:37:31
42.455256,-76.398271,14:37:34
42.455303,-76.398164,14:37:38
42.455316,-76.398135,14:37:39
42.455386,-76.397964,14:37:45
42.455401,-76.397932,14:37:46
42.455485,-76.397724,14:37:53
42.455498,-76.397697,14:37:54
42.455578,-76.397504,14:38:01
42.455605,-76.397445,14:38:03
42.455618,-76.397414,14:38:04
42.455771,-76.397076,14:38:14
42.455887,-76.396806,14:38:20
42.456019,-76.396516,14:38:25
42.456073,-76.396395,14:38:27
42.456295,-76.395912,14:38:35
42.456349,-76.39579,14:38:37
42.456557,-76.39532,14:38:45
42.456612,-76.395201,14:38:47
42.456701,-76.394996,14:38:50
42.456763,-76.39486,14:38:52
42.456942,-76.394455,14:38:58
42.457032,-76.394248,14:39:01
42.45712,-76.394024,14:39:04
42.457257,-76.393634,14:39:09
42.45742,-76.393158,14:39:15
42.457465,-76.393021,14:39:17
42.457568,-76.392756,14:39:22
42.457587,-76.392713,14:39:23
42.457611,-76.39264,14:39:25
42.45765,-76.392532,14:39:28
42.457664,-76.392496,14:39:29
42.457708,-76.392379,14:39:32
42.457765,-76.392238,14:39:36
42.45779,-76.392167,14:39:38
42.457843,-76.392025,14:39:42
42.457914,-76.391853,14:39:47
42.45799,-76.391646,14:39:53
42.458019,-76.391574,14:39:55
42.458093,-76.39138,14:40:01
42.458105,-76.391349,14:40:02
42.458157,-76.391222,14:40:06
42.458222,-76.391067,14:40:11
42.458232,-76.391035,14:40:12
42.458265,-76.390942,14:40:15
42.458291,-76.390843,14:40:18
42.45834,-76.390644,14:40:24
42.458378,-76.390474,14:40:29
42.458407,-76.390357,14:40:33
42.458421,-76.390256,14:40:36
42.458425,-76.39022,14:40:37
42.458431,-76.390153,14:40:39
42.45844,-76.390085,14:40:41
42.458446,-76.389963,14:40:45
42.458445,-76.389934,14:40:46
42.458447,-76.389913,14:40:47
42.458455,-76.389819,14:40:50
42.458445,-76.389726,14:40:54
42.458444,-76.389704,14:40:55
42.458454,-76.389597,14:40:59
42.458455,-76.389513,14:41:02
42.458458,-76.389464,14:41:04
42.458454,-76.389355,14:41:08
42.458452,-76.389304,14:41:10
42.458454,-76.38928,14:41:11
42.45845,-76.389255,14:41:12
42.458451,-76.389107,14:41:17
42.458451,-76.389077,14:41:18
42.458453,-76.388983,14:41:21
42.458455,-76.38883,14:41:26
42.458455,-76.388796,14:41:27
42.458459,-76.388602,14:41:33
42.45846,-76.388508,14:41:36
42.458459,-76.388421,14:41:39
42.458453,-76.388237,14:41:45
42.458454,-76.388173,14:41:47
42.45846,-76.387994,14:41:53
42.458463,-76.387942,14:41:55
42.458464,-76.387897,14:41:57
42.458472,-76.387743,14:42:03
42.458485,-76.387609,14:42:08
42.458493,-76.387545,14:42:10
42.45849,-76.387477,14:42:12
42.458485,-76.387398,14:42:15
42.458489,-76.387339,14:42:17
42.458488,-76.387308,14:42:18
42.458492,-76.38719,14:42:22
42.458493,-76.387158,14:42:23
42.458503,-76.387039,14:42:28
42.458507,-76.386956,14:42:31
42.458508,-76.386932,14:42:32
42.458509,-76.386804,14:42:37
42.458515,-76.386721,14:42:40
42.458522,-76.386613,14:42:44
42.458522,-76.386591,14:42:45
42.458524,-76.386572,14:42:46
42.458527,-76.386549,14:42:47
